chemical,k_rate
H-,14.15561874
C-,3.394209807
O-,1.768377785
F-,0.069179848
Si-,8.047371189
S-,1.556452857
Cl-,0.116314902
Br-,0.241191733
I-,0.480801267
OH-,0.97879
O2[H2O]-,0.85683
