Energy,Csc
4.43,0
4.59,0.0044
4.71,0.011
5,0.025
5.29,0.05
5.72,0.0913
6,0.116
6.19,0.128
6.32,0.133
6.45,0.122
6.64,0.1
7,0.0485
7.186,0.0313
7.3,0.0287
7.43,0.036
7.56,0.062
7.7,0.133
8,0.23
8.21,0.286
8.35,0.31
8.44,0.316
8.6,0.31
8.76,0.285
9,0.244
9.22,0.213
9.4,0.208
9.56,0.214
9.67,0.226
9.89,0.256
10,0.285
10.138,0.337
10.46,0.493
10.66,0.55
10.8,0.57
10.9,0.576
11,0.576
11.18,0.553
11.5,0.466
12,0.327
12.5,0.2
13,0.108
13.28,0.0688
13.625,0.038
13.8,0.0264
14,0.023
