w,cs
0,0
500,1.5
1000,3.3
1500,5.7
2000,8.5
2500,11.7
3000,15.2
3500,18.9
4000,22.3
4500,25.5
5000,28.4
5500,31.1
6000,33.5
6500,35.6
7000,37.1
7500,38.3
8000,39.2
8500,39.5
9000,39.3
9500,38.5
10000,37.3
10500,35.8
11000,33.8
11500,31.4
12000,28.5
12500,25.4
13000,22
13500,18.3
14000,14.6
14500,10.6
15000,7.1
15500,4
16000,1.7
16419,0
