Wavelength,Flux,
10750,1.68E+16,500
11250,1.60E+16,500
11750,1.50E+16,500
12250,1.48E+16,500
12750,1.43E+16,500
13250,1.32E+16,500
13750,1.25E+16,500
14250,1.16E+16,500
14750,1.12E+16,500
15250,1.07E+16,500
15750,9.95E+15,500
16250,9.72E+15,500
16750,9.20E+15,500
17250,8.24E+15,500
17750,7.70E+15,500
18250,6.94E+15,500
18750,6.51E+15,500
19250,6.19E+15,500
19750,7.46E+15,625
20375,1.11E+16,1125
21500,8.28E+15,1000
22500,7.33E+15,1000
23500,6.83E+15,1000
24500,6.07E+15,1000
25500,5.50E+15,1000
26500,4.96E+15,1000
27500,4.51E+15,1000
28500,4.09E+15,1000
29500,3.74E+15,1000
30500,3.40E+15,1000
31500,3.18E+15,1000
32500,2.87E+15,1000
33500,2.70E+15,1000
34500,2.47E+15,1000
35500,2.31E+15,1000
36500,2.14E+15,1000
37500,2.01E+15,1000
38500,1.87E+15,1000
39500,1.71E+15,1000
40500,1.60E+15,1000
41500,1.48E+15,1000
42500,1.41E+15,1000
43500,1.33E+15,1000
44500,1.25E+15,1000
45500,1.16E+15,1000
46500,1.06E+15,1000
47500,9.67E+14,1000
48500,9.25E+14,1000
49500,2.84E+15,3250
52750,6.74E+15,12250
65000,3.35E+15,10000
75000,2.22E+15,10000
85000,1.59E+15,10000
95000,4.53E+15,45000
140000,0,-140000
