5.29e+3, 0.465
5.29e+3, 0.511
5.29e+3, 0.542
5.29e+3, 0.573
5.29e+3, 0.561
5.29e+3, 0.526
5.29e+3, 0.502
5.29e+3, 0.607
5.29e+3, 0.596
5.29e+3, 0.584
5.29e+3, 0.486
5.30e+3, 0.464
5.31e+3, 0.510
5.31e+3, 0.453
5.31e+3, 0.437
5.32e+3, 0.478
5.32e+3, 0.522
5.32e+3, 0.491
5.32e+3, 0.535
5.34e+3, 0.564
5.34e+3, 0.552
5.34e+3, 0.577
5.34e+3, 0.507
5.35e+3, 0.521
5.35e+3, 0.534
5.35e+3, 0.488
5.36e+3, 0.462
5.36e+3, 0.445
5.36e+3, 0.473
5.37e+3, 0.504
5.38e+3, 0.459
5.39e+3, 0.477
5.39e+3, 0.490
5.39e+3, 0.446
5.39e+3, 0.528
5.40e+3, 0.512
5.41e+3, 0.459
5.42e+3, 0.496
5.42e+3, 0.479
5.42e+3, 0.466
5.42e+3, 0.541
5.43e+3, 0.527
5.43e+3, 0.511
5.44e+3, 0.555
5.45e+3, 0.492
5.45e+3, 0.467
5.46e+3, 0.479
5.46e+3, 0.453
5.46e+3, 0.444
5.46e+3, 0.433
5.46e+3, 0.420
5.47e+3, 0.405
5.48e+3, 0.451
5.48e+3, 0.464
5.49e+3, 0.498
5.49e+3, 0.482
5.49e+3, 0.523
5.49e+3, 0.512
5.49e+3, 0.437
5.51e+3, 0.381
5.51e+3, 0.410
5.52e+3, 0.434
5.52e+3, 0.482
5.52e+3, 0.471
5.52e+3, 0.459
5.52e+3, 0.424
5.52e+3, 0.446
5.53e+3, 0.395
5.53e+3, 0.383
5.53e+3, 0.497
5.54e+3, 0.409
5.55e+3, 0.488
5.55e+3, 0.499
5.55e+3, 0.442
5.55e+3, 0.464
5.55e+3, 0.453
5.55e+3, 0.429
5.55e+3, 0.476
5.56e+3, 0.416
5.56e+3, 0.525
5.56e+3, 0.513
5.58e+3, 0.480
5.58e+3, 0.504
5.58e+3, 0.528
5.58e+3, 0.516
5.58e+3, 0.469
5.58e+3, 0.458
5.59e+3, 0.446
5.59e+3, 0.435
5.59e+3, 0.423
5.59e+3, 0.411
5.59e+3, 0.496
5.59e+3, 0.564
5.59e+3, 0.552
5.59e+3, 0.540
5.59e+3, 0.574
5.64e+3, 0.468
5.64e+3, 0.509
5.64e+3, 0.486
5.64e+3, 0.533
5.64e+3, 0.471
5.64e+3, 0.526
5.69e+3, 0.544
5.69e+3, 0.507
5.69e+3, 0.473
5.69e+3, 0.486
5.69e+3, 0.533
5.69e+3, 0.462
5.69e+3, 0.525
5.74e+3, 0.511
5.74e+3, 0.529
5.74e+3, 0.491
5.74e+3, 0.477
5.79e+3, 0.507
5.79e+3, 0.479
5.79e+3, 0.493
5.79e+3, 0.529
5.79e+3, 0.519
5.84e+3, 0.479
5.84e+3, 0.455
5.84e+3, 0.506
5.84e+3, 0.495
5.89e+3, 0.409
5.89e+3, 0.452
5.89e+3, 0.432
5.94e+3, 0.464
5.94e+3, 0.447
5.94e+3, 0.473
5.94e+3, 0.418
5.94e+3, 0.430
5.99e+3, 0.408
5.99e+3, 0.356
5.99e+3, 0.368
5.99e+3, 0.384
5.99e+3, 0.399
6.04e+3, 0.394
6.04e+3, 0.452
6.04e+3, 0.440
6.04e+3, 0.424
6.04e+3, 0.402
6.09e+3, 0.418
6.09e+3, 0.409
6.09e+3, 0.364
6.09e+3, 0.393
6.09e+3, 0.375
6.14e+3, 0.371
6.14e+3, 0.405
6.14e+3, 0.357
6.15e+3, 0.385
6.19e+3, 0.324
6.19e+3, 0.369
6.19e+3, 0.352
6.19e+3, 0.381
6.19e+3, 0.332
6.24e+3, 0.329
6.25e+3, 0.352
6.25e+3, 0.377
6.25e+3, 0.367
6.29e+3, 0.275
6.29e+3, 0.321
6.30e+3, 0.333
6.30e+3, 0.281
6.30e+3, 0.305
6.34e+3, 0.351
6.34e+3, 0.312
6.34e+3, 0.363
6.34e+3, 0.335
6.39e+3, 0.371
6.39e+3, 0.361
6.39e+3, 0.349
6.39e+3, 0.326
6.39e+3, 0.296
6.39e+3, 0.338
6.39e+3, 0.307
6.44e+3, 0.337
6.44e+3, 0.326
6.44e+3, 0.307
6.44e+3, 0.291
6.45e+3, 0.274
6.49e+3, 0.248
6.49e+3, 0.215
6.49e+3, 0.204
6.49e+3, 0.188
6.49e+3, 0.269
6.49e+3, 0.233
6.49e+3, 0.255
6.55e+3, 0.240
6.55e+3, 0.199
6.55e+3, 0.225
6.55e+3, 0.213
6.55e+3, 0.284
6.55e+3, 0.273
6.55e+3, 0.258
6.60e+3, 0.228
6.60e+3, 0.245
6.60e+3, 0.212
6.60e+3, 0.197
6.60e+3, 0.182
6.60e+3, 0.277
6.60e+3, 0.257
6.65e+3, 0.181
6.65e+3, 0.253
6.65e+3, 0.239
6.65e+3, 0.221
6.65e+3, 0.209
6.65e+3, 0.198
6.65e+3, 0.288
6.65e+3, 0.276
6.65e+3, 0.262
6.65e+3, 0.301
6.70e+3, 0.246
6.70e+3, 0.227
6.70e+3, 0.211
6.70e+3, 0.200
6.70e+3, 0.188
6.70e+3, 0.177
6.70e+3, 0.164
6.70e+3, 0.282
6.70e+3, 0.270
6.70e+3, 0.257
